ANON_ID,Class_ID,Question Id,Prompt,Promptly_Response,Stderr,Stdout,Timestamp
1,COMPSCI101 - Lab 11,2,"Write me a Python function called arrange that takes some words and converts them into only the alphabet  letters and arranges them alphabetically starting with capitalised letters first ABCD then lower case letters abcd, remove all not alpha characters and dont repeat upper and lower chars","

def arrange(words):
    # Remove all non-alpha characters and convert to lowercase
    words = [char.lower() for char in words if char.isalpha()]
    # Sort words alphabetically, capitalised letters first
    words.sort(key=str.lower)
    return ''.join(words)","Test failed for input abcabc
Expected result was ccbbaa
But actual result was aabbcc

","Test failed for input abcabc
Expected result was ccbbaa
But actual result was aabbcc

Test failed for input <3I LOVE CS<3
Expected result was CEILOSV
But actual result was ceilosv

Test failed for input asdf
Expected result was sfda
But actual result was adfs

Test failed for input 3asd32df asdsaf3
Expected result was sssffdddaaa
But actual result was aaadddffsss

Test failed for input 123 X 456
Expected result was X
But actual result was x

Test failed for input T12heZ3yrie1
Expected result was TZyrihee
But actual result was eehirtyz

Test failed for input Z1 x2 v*
Expected result was Zxv
But actual result was vxz

Test failed for input abc BCA
Expected result was ABCcba
But actual result was aabbcc

",2023-08-24T12:18:17.540Z
1,COMPSCI101 - Lab 11,2,"Write me a Python function called arrange that takes some words and converts them into only the alphabet  letters and arranges them alphabetically starting with capitalised letters first ABCD then lower case letters abcd, remove all not alpha characters","

def arrange(words):
  words = ''.join(c for c in words if c.isalpha())
  words = words.upper() + words.lower()
  return ''.join(sorted(words))","Test failed for input 3asd32df asdsaf3
Expected result was sssffdddaaa
But actual result was AAADDDFFSSSaaadddffsss

","Test failed for input 3asd32df asdsaf3
Expected result was sssffdddaaa
But actual result was AAADDDFFSSSaaadddffsss

Test failed for input T12heZ3yrie1
Expected result was TZyrihee
But actual result was EEHIRTYZeehirtyz

Test failed for input asdf
Expected result was sfda
But actual result was ADFSadfs

Test failed for input abc BCA
Expected result was ABCcba
But actual result was AABBCCaabbcc

Test failed for input Z1 x2 v*
Expected result was Zxv
But actual result was VXZvxz

Test failed for input <3I LOVE CS<3
Expected result was CEILOSV
But actual result was CEILOSVceilosv

Test failed for input abcabc
Expected result was ccbbaa
But actual result was AABBCCaabbcc

Test failed for input 123 X 456
Expected result was X
But actual result was Xx

",2023-08-23T09:46:09.959Z
1,COMPSCI101 - Lab 11,2,Write me a Python function called arrange that takes some words and converts them into only the alphabet  letters and arranges them alphabetically starting with capitalised letters first ABCD then lower case letters abcd,"

def arrange(words):
  # Create a set of all the letters in the words
  letters = set()
  for word in words:
    for letter in word:
      letters.add(letter)
  
  # Sort the letters alphabetically
  sorted_letters = sorted(list(letters))
  
  # Separate the capitalised letters from the lowercase
  capital_letters = []
  lower_letters = []
  for letter in sorted_letters:
    if letter.isupper():
      capital_letters.append(letter)
    else:
      lower_letters.append(letter)
  
  # Join the lists and return the result
  return ''.join(capital_letters + lower_letters)","Test failed for input Z1 x2 v*
Expected result was Zxv
But actual result was Z *12vx

","Test failed for input Z1 x2 v*
Expected result was Zxv
But actual result was Z *12vx

Test failed for input asdf
Expected result was sfda
But actual result was adfs

Test failed for input abcabc
Expected result was ccbbaa
But actual result was abc

Test failed for input abc BCA
Expected result was ABCcba
But actual result was ABC abc

Test failed for input 123 X 456
Expected result was X
But actual result was X 123456

Test failed for input <3I LOVE CS<3
Expected result was CEILOSV
But actual result was CEILOSV 3<

Test failed for input T12heZ3yrie1
Expected result was TZyrihee
But actual result was TZ123ehiry

Test failed for input 3asd32df asdsaf3
Expected result was sssffdddaaa
But actual result was  23adfs

",2023-08-23T09:45:40.886Z
1,COMPSCI101 - Lab 11,1,"Write me a Python function called scramble, where it takes 2 parameters a word and a number, this number represents the amount of letters the new word in the output must move to each letter must move by the number ","

def scramble(word, num): 
    scrambled = """"
    for letter in word: 
        scrambled += chr((ord(letter) - 97 + num) % 26 + 97) 
    return scrambled",,"Test passed for input ('hello', 3)

Test passed for input ('test', 0)

Test passed for input ('test', -13)

Test passed for input ('test', 26)

Test passed for input ('abcxyz', 3)

Test passed for input ('z', 1)

Test passed for input ('test', 13)

Test passed for input ('a', 1)

",2023-08-23T09:42:54.293Z
1,COMPSCI101 - Lab 11,1,"Write me a Python function called scramble, where it takes 2 parameters a word and a number, this number represents the amount of letters the new word in the output must move to","

def scramble(word, num): 
    scrambled_word = '' 
    for i in range(len(word)): 
        scrambled_word += word[(i + num) % len(word)] 
    return scrambled_word","Test failed for input ('test', -13)
Expected result was grfg
But actual result was ttes

","Test failed for input ('test', -13)
Expected result was grfg
But actual result was ttes

Test failed for input ('test', 26)
Expected result was test
But actual result was stte

Test failed for input ('abcxyz', 3)
Expected result was defabc
But actual result was xyzabc

Test failed for input ('a', 1)
Expected result was b
But actual result was a

Test failed for input ('z', 1)
Expected result was a
But actual result was z

Test failed for input ('hello', 3)
Expected result was khoor
But actual result was lohel

Test passed for input ('test', 0)

Test failed for input ('test', 13)
Expected result was grfg
But actual result was estt

",2023-08-23T09:42:14.563Z
1,COMPSCI101 - Lab 10,3,"define a function repeat(numbers) that takes a list of numbers and print each number by the original number in the list, returning a list","

def repeat(numbers):
    result = []
    for num in numbers:
        result.extend([num]*num)
    return result",,"Test passed for input [7]

Test passed for input [5, 1, 3, 2]

Test passed for input [3, 3, 4]

Test passed for input [1, 1, 1]

",2023-08-22T11:00:32.658Z
1,COMPSCI101 - Lab 10,3,"take a list of numbers and print each number by the original number in the list, returning a list","

def list_original_number(numbers):
  output = []
  for num in numbers:
    output.append(num * num)
  return output","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_Fqs4HY/test.c"", line 20, in <module>
    result = repeat(test_input)
NameError: name 'repeat' is not defined
",,2023-08-22T11:00:04.556Z
1,COMPSCI101 - Lab 10,2,"write a python function that takes a string of words and turns the initials (the first letters) of each word and capitalises them, make sure you define initials","

def initials(words):
  initials = """"
  for word in words.split():
    initials += word[0].upper()
  return initials",,"Test passed for input a b c d e

Test passed for input Cherries

Test passed for input xxx yyy zzz

Test passed for input dog cat fish bird

",2023-08-22T10:58:52.875Z
1,COMPSCI101 - Lab 10,2,write a python function that takes a string of words and turns the initials (the first letters) of each word and capitalises them ,"

def getInitials(words): 
  initials = """" 
  for word in words.split(): 
    initials += word[0].upper() 
  return initials","Traceback (most recent call last):
  File ""/home/jobe/runs/jobe_zs1YYF/test.c"", line 20, in <module>
    result = initials(test_input)
NameError: name 'initials' is not defined. Did you mean: 'getInitials'?
",,2023-08-22T10:58:30.466Z
1,COMPSCI101 - Lab 10,2,"Write me a Python function called find the first letter of each word in a list and the output must be a capitalisation of this, you must define initials, and remove trailing spaces","

def initials(words):
    return ''.join(word[0].upper() for word in words).strip()","Test failed for input dog cat fish bird
Expected result was DCFB
But actual result was DOG CAT FISH BIRD

","Test failed for input dog cat fish bird
Expected result was DCFB
But actual result was DOG CAT FISH BIRD

Test failed for input a b c d e
Expected result was ABCDE
But actual result was A B C D E

Test failed for input Cherries
Expected result was C
But actual result was CHERRIES

Test failed for input xxx yyy zzz
Expected result was XYZ
But actual result was XXX YYY ZZZ

",2023-08-22T10:56:47.100Z
